financial_year,year,bank_name,total_assets,investments,advances,fixed_assets,other_assets,capital,reserves_surplus,deposits,borrowings,other_liabilities_provisions,total_liabilities,interest_earned,other_income,total_income,interest_expended,operating_expenses,net_interest_income,provisions_contingencies,operating_profit,net_profit,crar,tier1_crar,tier2_crar,gross_npa_opening,gross_npa_additions,gross_npa_reduction,gross_npa_writeoff,gross_npa_closing,net_npa_opening,net_npa_closing,return_on_assets,return_on_equity,net_npa_to_net_advances,asset_growth,deposit_growth,advance_growth,calculated_nii,nii_difference,profit_growth
FY2015-16,2016,AB BANK LIMITED,251.675,29.5755,62.1784,1.4424,17.9394,36.9823,55.8906,150.6053,,8.1968,251.675,8.0672,27.712,35.7792,1.7213,14.6311,6.3459,12.3357,19.4268,7.0911,28.52,27.79,0.73,8.4593,0.4387,,,8.898,5.25,3.7,3.07,7.63573399894258,5.95,,,,6.345899999999999,8.881784197001252e-16,
FY2016-17,2017,AB BANK LIMITED,242.7238,41.5833,63.7437,0.9305,23.0232,36.9823,61.1046,136.3877,,8.2492,242.7238,7.4239,28.3174,35.7413,1.7996,17.9848,5.6243,7.8636,15.9569,8.0933,32.95,32.68,0.27,8.898,,,,8.898,3.7,,3.48,8.47644373318363,,-3.556650442038345,-9.440305221662193,2.517433706882133,5.6243,0.0,14.133209234110344
FY2017-18,2018,AB BANK LIMITED,212.7043,33.2583,50.5906,0.8006,22.1366,36.9823,52.3131,117.0494,,6.3595,212.7043,6.9207,26.3867,33.3074,1.7748,15.114,5.1459,7.1937,16.4186,9.2249,36.62,36.33,0.29,8.898,,,,8.898,,,4.17,9.8460740422121,,-12.367761216658613,-14.178917893622367,-20.63435288506942,5.1459,0.0,13.98193567518813
FY2018-19,2019,AB BANK LIMITED,250.2364,31.4388,50.9594,1.0123,26.1087,36.9823,60.3858,148.1205,,4.7478,250.2364,7.7901,28.0454,35.8355,1.8366,15.3392,5.9535,9.3291,18.6597,9.3306,33.56,33.28,0.28,8.898,,,8.898,,,,4.28,10.0532776895322,,17.645200402624695,26.545287716126676,0.7289891798081038,5.9535,0.0,1.1458118787195604
FY2019-20,2020,AB BANK LIMITED,203.4053,39.5833,55.0234,0.6599,10.289,36.9823,56.363,105.8204,,,203.4053,7.1076,26.0088,33.1164,1.3698,25.8519,5.7378,2.6549,5.8947,3.2398,45.0,44.44,0.56,8.898,,,8.898,,,,1.31,3.39755885,,-18.714743338698923,-28.557897117549558,7.974976157490077,5.7378,0.0,-65.27768846590789
FY2020-21,2021,AB BANK LIMITED,299.227382,40.417562,61.285667,0.546988,10.836998,36.98226,64.075516,193.734991,,,299.227382,5.047394,23.257987,28.305381,0.978478,15.091937,4.068916,4.522498,12.234966,7.712468,35.34,34.94,0.4,,,,,,,,3.01,7.935,,47.10894062249113,83.07905753522004,11.38109786018311,4.068916,0.0,138.0538304833632
FY2021-22,2022,AB BANK LIMITED,343.8438,56.0074,61.1475,0.3286,11.5178,74.1283,44.2133,221.1961,,,343.8438,4.9524,29.9984,34.9508,0.7179,17.2312,4.2345,6.9589,17.0017,10.0428,53.08,52.57,0.51,,,,,,,,3.28,9.154812,,14.91053983822912,14.174573657682732,-0.22544749329398428,4.2345,0.0,30.21512698658846
FY2022-23,2023,AB BANK LIMITED,257.243534,59.671753,54.288749,0.464579,10.598396,74.12826,46.132987,132.243664,,,257.243534,8.702263,27.278383,35.980646,0.64605,16.421162,8.056213,9.923058,18.913434,8.990379,70.55,69.84,0.71,,,,,,,,2.71,7.535852,,-25.18593210056426,-40.214287684095694,-11.21673167341265,8.056213,0.0,-10.479358346277923
FY2023-24,2024,AB BANK LIMITED,436.387818,74.26462,68.220079,0.341193,13.292653,157.33451,53.094115,221.522052,,,436.387818,14.942926,28.458692,43.401618,0.668962,15.985898,14.273964,11.524139,26.746758,15.222619,96.32,95.61,0.71,,,,,,,,4.64,9.206583,,69.63995604258801,67.51052209200739,25.661541768074247,14.273964,0.0,69.32121549047041
FY2024-25,2025,AB BANK PLC,474.746737,132.275977,73.372676,2.855297,11.998753,157.33451,64.385706,248.044642,,,474.746737,23.508785,33.101687,56.610472,0.364533,21.395341,23.144252,13.48479,34.850598,21.365808,87.97,87.21,0.76,,,,,,,,5.1,9.888171,,,,,23.144251999999998,3.552713678800501e-15,
FY2015-16,2016,ABU DHABI COMMERCIAL BANK PJSC,2693.0871,308.6127,1996.475,8.9912,73.4742,217.0187,151.6656,2083.609,132.2096,108.5842,2693.0871,185.235,21.602,206.837,138.5873,38.4605,46.6477,12.5728,29.7892,17.2164,24.89,24.07,0.82,23.1076,,,,23.1076,1.3521,1.3521,0.67,4.78132261485836,0.07,,,,46.647700000000015,-1.4210854715202004e-14,
FY2016-17,2017,ABU DHABI COMMERCIAL BANK PJSC,3475.1443,684.941,2310.8138,9.3636,75.5316,217.0187,167.5111,2837.4194,165.7,87.4951,3475.1443,198.2442,26.5444,224.7886,153.379,40.2636,44.8652,15.3005,31.146,15.8455,25.52,24.64,0.88,23.1076,,,,23.1076,1.3521,1.3521,0.54,4.20743584061955,0.06,29.03943210748734,36.17811211220532,15.744690016153463,44.865200000000016,-1.4210854715202004e-14,-7.962756441532493
FY2017-18,2018,ABU DHABI COMMERCIAL BANK PJSC,3417.8669,998.978,2030.4009,10.2425,94.3121,217.0187,183.9103,2321.6277,614.6573,80.6529,3417.8669,181.1469,19.5746,200.7215,125.6113,43.7725,55.5356,14.9385,31.3377,16.3992,19.02,18.43,0.59,23.1076,,,,23.1076,1.3521,,0.6,4.17569960384937,,-1.648202061710069,-18.178197414171493,-12.134811554267156,55.53559999999999,1.4210854715202004e-14,3.494367486037042
FY2018-19,2019,ABU DHABI COMMERCIAL BANK PJSC,2812.3225,837.6411,1525.7647,8.6864,93.6846,217.0187,178.2227,2066.9954,274.0971,75.9886,2812.3225,192.2464,5.7041,197.9505,142.9273,51.2628,49.3191,9.448,3.7604,-5.6876,28.12,27.18,0.94,23.1076,53.3484,1.3521,21.7273,53.3766,1.3521,39.9503,-0.19,-1.42873937538999,2.62,-17.7170269561989,-10.967835195970487,-24.854017745953527,49.31909999999999,7.105427357601002e-15,-134.68217961851798
FY2019-20,2020,ABU DHABI COMMERCIAL BANK PJSC,327.9398,,,3.7123,26.2034,217.0187,86.661,,,,327.9398,95.2232,-5.7819,89.4413,62.6927,83.0747,32.5305,35.2356,-56.3261,-91.5617,206.85,206.85,,53.3766,74.6765,64.3669,63.6862,,39.9503,,-6.43,-26.20086874,,-88.3391822950604,,,32.5305,0.0,1509.847738940854
FY2020-21,2021,ABU DHABI COMMERCIAL BANK PJSC,306.8053,,,3.6201,23.6965,217.0187,89.7176,,,,306.8053,6.6193,0.1957,6.815,,2.9009,6.6193,0.8576,3.9141,3.0565,201.29,201.29,,,,,,,,,0.99,1.001,,-6.444627946958558,,,,,-103.33818616299173
FY2021-22,2022,ABU DHABI COMMERCIAL BANK PJSC,296.6728,,,2.7152,24.1079,217.0187,79.601,,,,296.6728,5.6689,3.7311,9.4,,18.808,5.6689,0.7086,-9.408,-10.1166,278.08,278.08,,,,,,,,,-3.31,-3.353443,,-3.3025831040076503,,,,,-430.98642237853755
FY2021-22,2022,AIRTEL PAYMENTS BANK LIMITED,2128.3136,1082.4048,,128.7215,367.0709,2348.347,-2001.0683,992.3983,57.4946,,2128.3136,54.1439,887.1979,941.3418,17.7624,912.5967,36.3815,1.9627,10.9827,9.02,58.26,58.26,,,,,,,,,0.5,,,,,,36.3815,0.0,
FY2022-23,2023,AIRTEL PAYMENTS BANK LIMITED,3026.4536,1631.271,,315.9287,326.278,2374.2715,-1979.4293,1678.9458,84.982,,3026.4536,96.134212,1194.945667,1291.079879,31.937169,1231.257468,64.197043,6.246275,27.885242,21.638967,49.1,49.1,,,,,,,,,0.87,5.831664,,42.199608178042936,69.1806404746965,,64.19704300000001,-1.4210854715202004e-14,139.8998558758315
